Graph;Projet Lienne-Raspille;Ann‚e moyenne 2100 - Gestion durable de l'eau;Jan;F‚v;Mars;Avril;Mai;Juin;Juillet;Ao–t;Sept;Oct;Nov;D‚c;Annuel;A visuali-ser;Couleurs;Remarques;;
;;;Mio.m3;Mio.m3;Mio.m3;Mio.m3;Mio.m3;Mio.m3;Mio.m3;Mio.m3;Mio.m3;Mio.m3;Mio.m3;Mio.m3;Mio.m3;;;;;
1;Afflux Lac Tseuzier;Moyenne 2100;2,167;1,235;1,733;5,858;17,279;11,678;8,187;6,377;5,047;4,466;3,859;2,961;70,847;X;#26C4EC;;;
2;Afflux captages est;Moyenne 2100;0;0;0,934;3,109;4,572;2,704;2,327;0;0;0,723;0;0;14,368;X;#0000FF;;;
;D‚bit total captages est;Moyenne 2100;1,684;0,754;1,699;3,874;5,337;3,469;3,092;2,406;1,742;1,488;1,716;1,644;28,905;;;;;
3;LiŠne-ruisseau depuis Barrage (minimum);;0,383;0,383;0,383;0,383;0,383;0,383;0,383;0,383;0,383;0,383;0,383;0,383;4,591;X;#26C4EC;Toute l'ann‚e;;
4;TiŠche-ruisseaux est (minimum);;0,765;0,765;0,765;0,765;0,765;0,765;0,765;0,765;0,765;0,765;0,765;0,765;9,182;;;Toute l'ann‚e;;
;;;;;;;;;;;;;;;;;;;;
;BESOIN;;;;;;;;;;;;;;;;;;;
;Eau potable inclus industrie;;;;;;;;;;;;;;;;;;;
;Besoin mensuel;Moyenne 2100;0,969;0,886;0,96;0,907;0,927;0,993;1,05;1,049;0,998;0,93;0,973;1,035;11,678;;;;;
;;;;;;;;;;;;;;;;;;;;
;Eau potable inclus industrie couvert par Lac Tseuzier;;;;;;;;;;;;;;;;;;;Pourcentage aliment par Lac Tseuzier
;Besoin mensuel;Moyenne 2100;0,291;0,266;0;0;0;0;0;0,315;0,299;0;0;0,311;1,481;X;#0000FF;Avec 2 points de tirage dans le villages;;30%
;;;;;;;;;;;;;;;;;;;;
;Irrigation;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;Besoin mensuel;Moyenne 2100;0;0;0;0,278;0,378;0,616;1,113;1,193;0,914;0,398;0;0;4,889;;;;;
;;;;;;;;;;;;;;;;;;;;
;Irrigation couvert par Lac Tseuzier;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;Besoin mensuel;Moyenne 2100;0;0;0;0;0;0;0;0,954;0,731;0;0;0;1,685;X;#048B9A;L'eau est amen‚ par les bisses, ce transport manque dans le clip de Y. Rey;;
;;;;;;;;;;;;;;;;;;;;
;Enneigement couvert par Lac Moubra;;;;;;;;;;;;;;;;;Optionnel: v;;
;Monatlicher Bedarf;Mittel 2010 - 2012;;;;;;;;;;;0,15;0,15;0,3;;;;;
;Besoin mensuel;Moyenne 2100;0;0;0;0;0;0;0;0;0;0;0,3;0,3;0,6;X;#0000FF;"Entre deux captages on pourrait mettre un tube qui monte, avec une icone ""canon … neige"" au bout. Cet icone pourrait ˆtre comme celui de l'irrigation, mais avec des cristaux au lieu des points";;
;;;;;;;;;;;;;;;;;;;;
;Production Energie Barrage;;;;;;;;;;;;;;;;;;;
;Besoin mensuel;Moyenne 2100;7,8;7,7;4;0,2;1,3;4,7;7,5;7,3;6;8,3;9,7;9;73,5;X;#6600FF;"Tube tout droit vers St-L‚onard, Icone ""turbine"" au bout?";;
;;;;;;;;;;;;;;;;;;;;
;TOTAL BESOIN DEPUIS LAC TSEUZIER;;;;;;;;;;;;;;;;;;;
;Besoin mensuel;Moyenne 2100;8,473;8,348;4,383;0,583;1,683;5,083;7,883;8,951;7,413;8,683;10,383;9,993;81,857;;;;;
;;;;;;;;;;;;;;;;;;;;
;BILAN MENSUEL AFFLUX - BESOIN;;;;;;;;;;;;;;;;;;;
;;Moyenne 2100;-6,306;-7,113;-1,716;8,384;20,168;9,299;2,631;-2,574;-2,366;-3,494;-6,524;-7,032;;;;;;
;;;;;;;;;;;;;;;;;;;;
;NIVEAU LAC, LE MAXIMUM EST 45 MIO. M3, RESERVE DE 5 MIO M3 POUR HAUTES EAUX;;;;;;;;;;;;;;;;;;;
;;Mittel 2100;19,278;12,165;10,449;18,833;39,001;45;45;45;42,634;39,14;32,616;25,584;;X;#26C4EC;;;
;;;;;;;;;;;;;;;;;;;;
;NIVEAU-VOLUME GLACIER;Moyenne 2100;0;0;0;0;0;0;0;0;0;0;0;0;;X;#DFF2FF;;;
